season,episode,speaker,Symptom,Test,Drug,Procedure,Intent,diagnosis_stage,Sarcasm,Emotion,Organ,correct_prediction,model_prediction,text,medical_entities,text_clean,intent_norm,emotion_norm,organ_norm,diagnosis_stage_norm,sarcasm_label,has_symptom,has_test,has_drug,has_procedure,entity_count,entity_types
1,1,Chase,,,,,hipotez,hipotez,0,nötr,beyin,nörosistiserkozis,,"Anevrizma, inme ya da başka bir iskemik sendrom olabilir.","[{""text"": ""anevrizma"", ""type"": ""Disease""}, {""text"": ""inme"", ""type"": ""Disease""}, {""text"": ""iskemik sendrom"", ""type"": ""Disease""}]","anevrizma, inme ya da başka bir iskemik sendrom olabilir.",hipotez,nötr,beyin,hipotez,not_sarcastic,False,False,False,False,3,Disease:3
1,1,House,,kontrastlı MR,,,hipotez,test,0,nötr,beyin,nörosistiserkozis,,Hemen kontrastlı bir beyin MR'ı isteyin.,"[{""text"": ""kontrastlı MR"", ""type"": ""Test""}]",hemen kontrastlı bir beyin mr'ı isteyin.,hipotez,nötr,beyin,test,not_sarcastic,False,True,False,False,1,Test:1
1,1,Cameron,,,,,hipotez,hipotez,0,nötr,beyin,nörosistiserkozis,,Creutzfeldt-Jakob hastalığı olabilir.,"[{""text"": ""Creutzfeldt-Jakob hastalığı"", ""type"": ""Disease""}]",creutzfeldt-jakob hastalığı olabilir.,hipotez,nötr,beyin,hipotez,not_sarcastic,False,False,False,False,1,Disease:1
1,1,Foreman,,,,,soru,hipotez,0,nötr,beyin,nörosistiserkozis,,Wernicke ensefalopatisi olabilir mi?,"[{""text"": ""Wernicke ensefalopatisi"", ""type"": ""Disease""}]",wernicke ensefalopatisi olabilir mi?,soru,nötr,beyin,hipotez,not_sarcastic,False,False,False,False,1,Disease:1
1,1,House,,tiamin düzeyi,,,açıklama,test,0,nötr,,nörosistiserkozis,,"Hayır, kandaki tiamin düzeyi normaldi.","[{""text"": ""tiamin düzeyi"", ""type"": ""Test""}]","hayır, kandaki tiamin düzeyi normaldi.",açıklama,nötr,unknown,test,not_sarcastic,False,True,False,False,1,Test:1
1,1,House,,"kan testi,kontrastlı MR",,,hipotez,test,0,nötr,beyin,nörosistiserkozis,,Kan testlerini yeniden alın ve kontrastlı MR'ı acilen planlayın.,"[{""text"": ""kan testi"", ""type"": ""Test""}, {""text"": ""kontrastlı MR"", ""type"": ""Test""}]",kan testlerini yeniden alın ve kontrastlı mr'ı acilen planlayın.,hipotez,nötr,beyin,test,not_sarcastic,False,True,False,False,2,Test:2
1,1,Foreman,,MR,gadolinyum,,açıklama,test,0,nötr,beyin,nörosistiserkozis,,Gadolinyumu damardan veriyoruz; beyine dağılıp MR için kontrast madde gibi davranacak.,"[{""text"": ""gadolinyum"", ""type"": ""Drug""}, {""text"": ""MR"", ""type"": ""Test""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]",gadolinyumu damardan veriyoruz; beyine dağılıp mr için kontrast madde gibi davranacak.,açıklama,nötr,beyin,test,not_sarcastic,False,True,True,False,3,Anatomy:1|Drug:1|Test:1
1,1,Cameron,alerjik reaksiyon,,gadolinyum,,açıklama,test,0,kaygı,,nörosistiserkozis,,Gadolinyuma alerjik reaksiyon geliştiriyor; iki dakika içinde ölebilir.,"[{""text"": ""gadolinyum"", ""type"": ""Drug""}, {""text"": ""alerjik reaksiyon"", ""type"": ""Symptom""}]",gadolinyuma alerjik reaksiyon geliştiriyor; iki dakika içinde ölebilir.,açıklama,kaygı,unknown,test,not_sarcastic,True,False,True,False,2,Drug:1|Symptom:1
1,1,Foreman,solunum durması,,epinefrin,,açıklama,test,0,kaygı,,nörosistiserkozis,,Nefes almıyor. Yarım doz epinefrin verin.,"[{""text"": ""solunum durması"", ""type"": ""Symptom""}, {""text"": ""epinefrin"", ""type"": ""Drug""}]",nefes almıyor. yarım doz epinefrin verin.,açıklama,kaygı,unknown,test,not_sarcastic,True,False,True,False,2,Drug:1|Symptom:1
1,1,Cameron,,,,ventilasyon,açıklama,test,0,kaygı,,nörosistiserkozis,,Ventile edemiyorum.,"[{""text"": ""ventilasyon"", ""type"": ""Procedure""}]",ventile edemiyorum.,açıklama,kaygı,unknown,test,not_sarcastic,False,False,False,True,1,Procedure:1
1,1,Foreman,ödem,,,cerrahi hava yolu,açıklama,test,0,kaygı,boğaz,nörosistiserkozis,,Ödem çok fazla; cerrahi hava yolu setini getirin.,"[{""text"": ""ödem"", ""type"": ""Symptom""}, {""text"": ""cerrahi hava yolu"", ""type"": ""Procedure""}, {""text"": ""boğaz"", ""type"": ""Anatomy""}]",ödem çok fazla; cerrahi hava yolu setini getirin.,açıklama,kaygı,boğaz,test,not_sarcastic,True,False,False,True,3,Anatomy:1|Procedure:1|Symptom:1
1,1,House,,,,,açıklama,değerlendirme,0,nötr,,nörosistiserkozis,,Genetik ya da çevresel etkenlerin inflamatuvar yanıtı tetikleyip tetiklemediğini anlamamız gerekiyor.,[],genetik ya da çevresel etkenlerin inflamatuvar yanıtı tetikleyip tetiklemediğini anlamamız gerekiyor.,açıklama,nötr,unknown,değerlendirme,not_sarcastic,False,False,False,False,0,
1,1,House,,,prednizon,,hipotez,test,0,nötr,,nörosistiserkozis,,Yüksek doz prednizon başlayın.,"[{""text"": ""prednizon"", ""type"": ""Drug""}]",yüksek doz prednizon başlayın.,hipotez,nötr,unknown,test,not_sarcastic,False,False,True,False,1,Drug:1
1,1,Foreman,,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,Serebral vaskülit tanısını desteklemeye çalışıyorsun.,"[{""text"": ""serebral vaskülit"", ""type"": ""Disease""}]",serebral vaskülit tanısını desteklemeye çalışıyorsun.,açıklama,nötr,beyin,hipotez,not_sarcastic,False,False,False,False,1,Disease:1
1,1,Cameron,,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,"Beyindeki damarların iltihabı, onun yaşında biri için oldukça nadirdir.","[{""text"": ""serebral vaskülit"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}, {""text"": ""damar"", ""type"": ""Anatomy""}]","beyindeki damarların iltihabı, onun yaşında biri için oldukça nadirdir.",açıklama,nötr,beyin,hipotez,not_sarcastic,False,False,False,False,3,Anatomy:2|Disease:1
1,1,House,,sedimantasyon hızı,,,açıklama,hipotez,0,nötr,,nörosistiserkozis,,Ama tümör de nadir; sedimantasyon hızı yüksekti.,"[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""sedimantasyon hızı"", ""type"": ""Test""}]",ama tümör de nadir; sedimantasyon hızı yüksekti.,açıklama,nötr,unknown,hipotez,not_sarcastic,False,True,False,False,2,Disease:1|Test:1
1,1,Cameron,,,,biyopsi,açıklama,test,0,nötr,beyin,nörosistiserkozis,,Bunu biyopsi olmadan teşhis edemezsiniz.,"[{""text"": ""biyopsi"", ""type"": ""Procedure""}]",bunu biyopsi olmadan teşhis edemezsiniz.,açıklama,nötr,beyin,test,not_sarcastic,False,False,False,True,1,Procedure:1
1,1,House,,,,,açıklama,test,0,nötr,,nörosistiserkozis,,Düzelirse doğru düşündüğümüzü anlarız; tedavi aynı zamanda tanı olur.,[],düzelirse doğru düşündüğümüzü anlarız; tedavi aynı zamanda tanı olur.,açıklama,nötr,unknown,test,not_sarcastic,False,False,False,False,0,
1,1,Cameron,,,,,açıklama,test,0,empati,beyin,nörosistiserkozis,,"Sizi vaskülit için tedavi ediyoruz; bu, beyindeki damarların iltihaplanması demek.","[{""text"": ""vaskülit"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}, {""text"": ""damar"", ""type"": ""Anatomy""}]","sizi vaskülit için tedavi ediyoruz; bu, beyindeki damarların iltihaplanması demek.",açıklama,empati,beyin,test,not_sarcastic,False,False,False,False,3,Anatomy:2|Disease:1
1,1,Rebecca,,,,,soru,test,0,kaygı,beyin,nörosistiserkozis,,Yani tümör değil mi? Beynimde tümör yok mu?,"[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]",yani tümör değil mi? beynimde tümör yok mu?,soru,kaygı,beyin,test,not_sarcastic,False,False,False,False,2,Anatomy:1|Disease:1
1,1,Rebecca,görme kaybı,,,,açıklama,değerlendirme,0,kaygı,göz,nörosistiserkozis,,Artık göremiyorum.,"[{""text"": ""görme kaybı"", ""type"": ""Symptom""}]",artık göremiyorum.,açıklama,kaygı,göz,değerlendirme,not_sarcastic,True,False,False,False,1,Symptom:1
1,1,Foreman,,,,defibrilasyon,açıklama,değerlendirme,0,empati,kalp,nörosistiserkozis,,Kalbini yeniden çalıştırmak için elektrik şoku vermek zorunda kaldık.,"[{""text"": ""defibrilasyon"", ""type"": ""Procedure""}, {""text"": ""kalp"", ""type"": ""Anatomy""}]",kalbini yeniden çalıştırmak için elektrik şoku vermek zorunda kaldık.,açıklama,empati,kalp,değerlendirme,not_sarcastic,False,False,False,True,2,Anatomy:1|Procedure:1
1,1,Foreman,"zihinsel durum bozukluğu,konuşma bozukluğu",,,,açıklama,değerlendirme,0,nötr,beyin,nörosistiserkozis,,Zihinsel durum bozukluğu aralıklı; konuşma sorunları da aynı şekilde gelip gidiyor.,"[{""text"": ""zihinsel durum bozukluğu"", ""type"": ""Symptom""}, {""text"": ""konuşma bozukluğu"", ""type"": ""Symptom""}]",zihinsel durum bozukluğu aralıklı; konuşma sorunları da aynı şekilde gelip gidiyor.,açıklama,nötr,beyin,değerlendirme,not_sarcastic,True,False,False,False,2,Symptom:2
1,1,Foreman,"körlük,solunum yetmezliği,yürüyememe",,,,açıklama,değerlendirme,0,kaygı,"beyin sapı,solunum merkezi",nörosistiserkozis,,"Belirtiler sorunun beyin sapına ilerlediğini gösteriyor; yakında yürüyemeyecek, kalıcı kör olacak ve solunum merkezi çökecek.","[{""text"": ""beyin sapı"", ""type"": ""Anatomy""}, {""text"": ""körlük"", ""type"": ""Symptom""}, {""text"": ""solunum yetmezliği"", ""type"": ""Symptom""}, {""text"": ""solunum merkezi"", ""type"": ""Anatomy""}]","belirtiler sorunun beyin sapına ilerlediğini gösteriyor; yakında yürüyemeyecek, kalıcı kör olacak ve solunum merkezi çökecek.",açıklama,kaygı,"beyin sapı,solunum merkezi",değerlendirme,not_sarcastic,True,False,False,False,4,Anatomy:2|Symptom:2
1,1,Foreman,,,,,açıklama,değerlendirme,0,nötr,,nörosistiserkozis,,"Eğer tümörse bir ya da iki ayı vardır; enfeksiyonsa birkaç hafta, damarsal bir nedense belki bir hafta.","[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""enfeksiyon"", ""type"": ""Disease""}, {""text"": ""damarsal hastalık"", ""type"": ""Disease""}]","eğer tümörse bir ya da iki ayı vardır; enfeksiyonsa birkaç hafta, damarsal bir nedense belki bir hafta.",açıklama,nötr,unknown,değerlendirme,not_sarcastic,False,False,False,False,3,Disease:3
1,1,House,,,steroid,,açıklama,değerlendirme,0,nötr,,nörosistiserkozis,,Steroidler bir şey yaptı ama tam olarak ne yaptığını henüz bilmiyorum.,"[{""text"": ""steroid"", ""type"": ""Drug""}]",steroidler bir şey yaptı ama tam olarak ne yaptığını henüz bilmiyorum.,açıklama,nötr,unknown,değerlendirme,not_sarcastic,False,False,True,False,1,Drug:1
1,1,House,yürüyememe,,,,açıklama,değerlendirme,0,nötr,beyin,nörosistiserkozis,,Bu bir tümör değil; çok hızlı kötüleşiyor ve artık ayağa kalkamıyor.,"[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""yürüyememe"", ""type"": ""Symptom""}]",bu bir tümör değil; çok hızlı kötüleşiyor ve artık ayağa kalkamıyor.,açıklama,nötr,beyin,değerlendirme,not_sarcastic,True,False,False,False,2,Disease:1|Symptom:1
1,1,House,,,,,hipotez,hipotez,1,alaycı,,nörosistiserkozis,,Nerede jambon varsa orada domuz vardır; domuz varsa nörosistiserkozis ihtimali de vardır.,"[{""text"": ""nörosistiserkozis"", ""type"": ""Disease""}]",nerede jambon varsa orada domuz vardır; domuz varsa nörosistiserkozis ihtimali de vardır.,hipotez,alaycı,unknown,hipotez,sarcastic,False,False,False,False,1,Disease:1
1,1,Chase,,,,,soru,hipotez,0,kaygı,beyin,nörosistiserkozis,,Tenya mı? Beyninde bir kurt olduğunu mu düşünüyorsun?,"[{""text"": ""tenya"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]",tenya mı? beyninde bir kurt olduğunu mu düşünüyorsun?,soru,kaygı,beyin,hipotez,not_sarcastic,False,False,False,False,2,Anatomy:1|Disease:1
1,1,House,,,,,açıklama,hipotez,0,nötr,bağırsak,nörosistiserkozis,,Domuz eti iyi pişmezse canlı tenya larvalarını alırsın; bağırsağa tutunup büyürler.,"[{""text"": ""tenya larvası"", ""type"": ""Disease""}, {""text"": ""bağırsak"", ""type"": ""Anatomy""}]",domuz eti iyi pişmezse canlı tenya larvalarını alırsın; bağırsağa tutunup büyürler.,açıklama,nötr,bağırsak,hipotez,not_sarcastic,False,False,False,False,2,Anatomy:1|Disease:1
1,1,House,,,,,açıklama,hipotez,0,nötr,"bağırsak,kan dolaşımı",nörosistiserkozis,,Yumurtalar bağırsak duvarını geçip kan dolaşımına karışabilir.,"[{""text"": ""bağırsak"", ""type"": ""Anatomy""}, {""text"": ""kan dolaşımı"", ""type"": ""Anatomy""}]",yumurtalar bağırsak duvarını geçip kan dolaşımına karışabilir.,açıklama,nötr,"bağırsak,kan dolaşımı",hipotez,not_sarcastic,False,False,False,False,2,Anatomy:2
1,1,House,,,,,açıklama,hipotez,0,nötr,bağışıklık sistemi,nörosistiserkozis,,Parazit sağlıklıyken bağışıklık sistemi onun varlığını fark etmez; salgılarıyla yanıtı baskılar.,"[{""text"": ""parazit"", ""type"": ""Disease""}, {""text"": ""bağışıklık sistemi"", ""type"": ""Anatomy""}]",parazit sağlıklıyken bağışıklık sistemi onun varlığını fark etmez; salgılarıyla yanıtı baskılar.,açıklama,nötr,bağışıklık sistemi,hipotez,not_sarcastic,False,False,False,False,2,Anatomy:1|Disease:1
1,1,House,ödem,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,"Parazit ölmeye başlayınca bağışıklık sistemi saldırır, her şey şişer ve bu beyin için çok kötüdür.","[{""text"": ""parazit"", ""type"": ""Disease""}, {""text"": ""ödem"", ""type"": ""Symptom""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]","parazit ölmeye başlayınca bağışıklık sistemi saldırır, her şey şişer ve bu beyin için çok kötüdür.",açıklama,nötr,beyin,hipotez,not_sarcastic,True,False,False,False,3,Anatomy:1|Disease:1|Symptom:1
1,1,House,,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,Beyninde bir tenya var; hiçbir şey yapmazsak hafta sonunu göremezsin.,"[{""text"": ""tenya"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]",beyninde bir tenya var; hiçbir şey yapmazsak hafta sonunu göremezsin.,açıklama,nötr,beyin,hipotez,not_sarcastic,False,False,False,False,2,Anatomy:1|Disease:1
1,1,Chase,,röntgen,,,hipotez,test,0,nötr,,nörosistiserkozis,,Bunun bir kurt olduğunu gösterecek şekilde kanıtlayabiliriz; röntgen invaziv değil ve güvenlidir.,"[{""text"": ""röntgen"", ""type"": ""Test""}]",bunun bir kurt olduğunu gösterecek şekilde kanıtlayabiliriz; röntgen invaziv değil ve güvenlidir.,hipotez,nötr,unknown,test,not_sarcastic,False,True,False,False,1,Test:1
1,1,Chase,,röntgen,,,açıklama,test,0,nötr,,nörosistiserkozis,,Sıradan bir röntgende kurtlar saçma taneleri gibi görünür.,"[{""text"": ""röntgen"", ""type"": ""Test""}, {""text"": ""kurt"", ""type"": ""Disease""}]",sıradan bir röntgende kurtlar saçma taneleri gibi görünür.,açıklama,nötr,unknown,test,not_sarcastic,False,True,False,False,2,Disease:1|Test:1
1,1,House,,röntgen,,,hipotez,test,0,nötr,"bacak,uyluk kası",nörosistiserkozis,,Başını değil bacağını röntgenlemeliyiz; kurtlar uyluk kasını sever.,"[{""text"": ""röntgen"", ""type"": ""Test""}, {""text"": ""bacak"", ""type"": ""Anatomy""}, {""text"": ""uyluk kası"", ""type"": ""Anatomy""}]",başını değil bacağını röntgenlemeliyiz; kurtlar uyluk kasını sever.,hipotez,nötr,"bacak,uyluk kası",test,not_sarcastic,False,True,False,False,3,Anatomy:2|Test:1
1,1,Chase,,,,,açıklama,kesin_tanı,0,nötr,,nörosistiserkozis,,Burada gördüğünüz şey bir kurt larvası.,"[{""text"": ""kurt larvası"", ""type"": ""Disease""}]",burada gördüğünüz şey bir kurt larvası.,açıklama,nötr,unknown,kesin_tanı,not_sarcastic,False,False,False,False,1,Disease:1
1,1,Rebecca,,,,,soru,kesin_tanı,0,kaygı,"bacak,beyin",nörosistiserkozis,,"Bacağımda varsa beynimde de vardır, öyle mi?","[{""text"": ""bacak"", ""type"": ""Anatomy""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]","bacağımda varsa beynimde de vardır, öyle mi?",soru,kaygı,"bacak,beyin",kesin_tanı,not_sarcastic,False,False,False,False,2,Anatomy:2
1,1,Chase,"karın ağrısı,bulantı,baş ağrısı,baş dönmesi,ateş,saç dökülmesi",,albendazol,,açıklama,kesin_tanı,0,nötr,,nörosistiserkozis,,"Albendazol kullanacaksın; en az bir ay boyunca her gün yemekle alacaksın. Olası yan etkiler karın ağrısı, bulantı, baş ağrısı, baş dönmesi, ateş ve saç dökülmesi.","[{""text"": ""albendazol"", ""type"": ""Drug""}, {""text"": ""karın ağrısı"", ""type"": ""Symptom""}, {""text"": ""bulantı"", ""type"": ""Symptom""}, {""text"": ""baş ağrısı"", ""type"": ""Symptom""}, {""text"": ""baş dönmesi"", ""type"": ""Symptom""}, {""text"": ""ateş"", ""type"": ""Symptom""}, {""text"": ""saç dökülmesi"", ""type"": ""Symptom""}]","albendazol kullanacaksın; en az bir ay boyunca her gün yemekle alacaksın. olası yan etkiler karın ağrısı, bulantı, baş ağrısı, baş dönmesi, ateş ve saç dökülmesi.",açıklama,nötr,unknown,kesin_tanı,not_sarcastic,True,False,True,False,7,Drug:1|Symptom:6
1,2,Cameron,"diplopi,gece terörü",,,,açıklama,hipotez,0,nötr,beyin,subakut sklerozan panensefalit,,16 yaşındaki erkek hastada ani başlayan diplopi ve gece terörleri var.,"[{""text"":""diplopi"",""type"":""Symptom""},{""text"":""gece terörü"",""type"":""Symptom""}]",16 yaşındaki erkek hastada ani başlayan diplopi ve gece terörleri var.,açıklama,nötr,beyin,hipotez,not_sarcastic,True,False,False,False,2,Symptom:2
1,2,House,gece terörü,,,,açıklama,hipotez,0,nötr,beyin,subakut sklerozan panensefalit,,16 yaşındaki bir hastada gece terörü olması aileyle ayrıntılı konuşmak için çok iyi bir neden.,"{""text"":""gece terörü"",""type"":""Symptom""}",16 yaşındaki bir hastada gece terörü olması aileyle ayrıntılı konuşmak için çok iyi bir neden.,açıklama,nötr,beyin,hipotez,not_sarcastic,True,False,False,False,0,
1,2,House,gece terörü,,,,soru,hipotez,0,nötr,,subakut sklerozan panensefalit,,Gece terörlerini ne zamandır yaşıyorsun?,"{""text"":""gece terörü"",""type"":""Symptom""}",gece terörlerini ne zamandır yaşıyorsun?,soru,nötr,unknown,hipotez,not_sarcastic,True,False,False,False,0,
1,2,Dan'ın Babası,"uykusuzluk,yorgunluk",,,,açıklama,hipotez,0,kaygı,,subakut sklerozan panensefalit,,"Uyumaktan korkuyor, tamamen tükenmiş halde ve zar zor işlev görüyor.","[{""text"":""uykusuzluk"",""type"":""Symptom""},{""text"":""yorgunluk"",""type"":""Symptom""}]","uyumaktan korkuyor, tamamen tükenmiş halde ve zar zor işlev görüyor.",açıklama,kaygı,unknown,hipotez,not_sarcastic,True,False,False,False,2,Symptom:2
1,2,House,,,,,açıklama,hipotez,0,nötr,,subakut sklerozan panensefalit,,Ergenlerde gece terörünün iki yaygın nedeni travma sonrası stres bozukluğu ve cinsel istismardır.,"[{""text"":""travma sonrası stres bozukluğu"",""type"":""Disease""},{""text"":""cinsel istismar"",""type"":""Disease""},{""text"":""gece terörü"",""type"":""Symptom""}]",ergenlerde gece terörünün iki yaygın nedeni travma sonrası stres bozukluğu ve cinsel istismardır.,açıklama,nötr,unknown,hipotez,not_sarcastic,False,False,False,False,3,Disease:2|Symptom:1
1,2,Dan,kafa travması,,,,açıklama,hipotez,0,nötr,beyin,subakut sklerozan panensefalit,,Lakros maçında başıma sert darbe aldım.,"{""text"":""kafa travması"",""type"":""Symptom""}",lakros maçında başıma sert darbe aldım.,açıklama,nötr,beyin,hipotez,not_sarcastic,True,False,False,False,0,
1,2,Dan'ın Babası,,BT,,,açıklama,test,0,nötr,beyin,subakut sklerozan panensefalit,,Acilde tarandı ve test edildi; beyin sarsıntısı olmadığı söylendi.,"[{""text"":""BT"",""type"":""Test""},{""text"":""beyin sarsıntısı"",""type"":""Disease""}]",acilde tarandı ve test edildi; beyin sarsıntısı olmadığı söylendi.,açıklama,nötr,beyin,test,not_sarcastic,False,True,False,False,2,Disease:1|Test:1
1,2,House,beyin sarsıntısı,,,,hipotez,hipotez,0,nötr,beyin,subakut sklerozan panensefalit,,Acil servis yanılmış; çocukta beyin sarsıntısı var.,"{""text"":""beyin sarsıntısı"",""type"":""Disease""}",acil servis yanılmış; çocukta beyin sarsıntısı var.,hipotez,nötr,beyin,hipotez,not_sarcastic,True,False,False,False,0,
1,2,Dan,diplopi,,,,açıklama,hipotez,0,nötr,göz,subakut sklerozan panensefalit,,Çifte görmem başıma darbe almadan önce başlamıştı.,"{""text"":""diplopi"",""type"":""Symptom""}",çifte görmem başıma darbe almadan önce başlamıştı.,açıklama,nötr,göz,hipotez,not_sarcastic,True,False,False,False,0,
1,2,House,"diplopi,beyin sarsıntısı,gece terörü",,,,şaka,hipotez,1,alaycı,"beyin,göz",subakut sklerozan panensefalit,,"Önce diplopi, sonra darbe, sonra beyin sarsıntısı ve gece terörü; belki de sadece gözlüğe ihtiyacı vardır.","[{""text"":""diplopi"",""type"":""Symptom""},{""text"":""beyin sarsıntısı"",""type"":""Disease""},{""text"":""gece terörü"",""type"":""Symptom""}]","önce diplopi, sonra darbe, sonra beyin sarsıntısı ve gece terörü; belki de sadece gözlüğe ihtiyacı vardır.",şaka,alaycı,"beyin,göz",hipotez,sarcastic,True,False,False,False,3,Disease:1|Symptom:2
1,2,House,miyoklonik sıçrama,,,,soru,değerlendirme,0,nötr,bacak,subakut sklerozan panensefalit,,Bacağındaki o sıçramayı hissettin mi?,"{""text"":""miyoklonik sıçrama"",""type"":""Symptom""}",bacağındaki o sıçramayı hissettin mi?,soru,nötr,bacak,değerlendirme,not_sarcastic,True,False,False,False,0,
1,2,House,miyoklonik sıçrama,,,,açıklama,değerlendirme,0,nötr,beyin,subakut sklerozan panensefalit,,Bu bir miyoklonik sıçrama; solunum yavaşlayınca beyin bedeni ölüyor sanıp onu uyandırmak için dürtü gönderir.,"[{""text"":""miyoklonik sıçrama"",""type"":""Symptom""},{""text"":""solunum"",""type"":""Anatomy""},{""text"":""beyin"",""type"":""Anatomy""}]",bu bir miyoklonik sıçrama; solunum yavaşlayınca beyin bedeni ölüyor sanıp onu uyandırmak için dürtü gönderir.,açıklama,nötr,beyin,değerlendirme,not_sarcastic,True,False,False,False,3,Anatomy:2|Symptom:1
1,2,House,,,,yatış,açıklama,değerlendirme,0,nötr,,subakut sklerozan panensefalit,,"Uyumuyor, tamamen uyanık; hastaneye yatırın.","{""text"":""yatış"",""type"":""Procedure""}","uyumuyor, tamamen uyanık; hastaneye yatırın.",açıklama,nötr,unknown,değerlendirme,not_sarcastic,False,False,False,True,0,
